Nome Escola,Contato,Rua,Bairro,Lote,"nm_bai,C,80",Longitude (X),Latitude(Y)
ESCOLA ESPECIAL HELENA ANTIPOFF - APAE,   322680,RUA 255,SETOR COIMBRA,        628,S Coimbra,683189.0,8154559.0
CMEI SETOR AEROVIÁRIO I,   357627,RUA 14,BAIRRO DOS AEROVIARIOS,          0,Bro dos Aerovi?írios,681088.0,8156671.0
CENTRO COMUNITÁRIO E CRECHE SÃO PIO X,   352456,RUA SAO SALVADOR,VILA PARAISO,         41,Vl Para?¡so,683687.0,8157697.0
EM SANTA HELENA,   321166,AVE CURITIBA,VILA PARAISO,        400,Vl Para?¡so,683738.0,8157625.0
EM JOÃO DE PAULA TEIXEIRA,   321120,RUA 10,SETOR MARECHAL RONDON,         74,S Marechal Rondon,684145.0,8157224.0
CMEI VILA SANTA HELENA,   329237,RUA 15,VILA SANTA HELENA,          0,Vl Santa Helena,683326.0,8157595.0
CMEI VILA IZAURA,   329102,RUA 9,VILA ISAURA,         45,Vl Isaura,683029.0,8157228.0
EM DONA BELINHA,   329136,RUA 12,VILA ISAURA,         70,Vl Isaura,683126.0,8157224.0
EM FRANCISCO BIBIANO DE CARVALHO,   321040,RUA DOUTOR BENJAMIM LUIZ VIEIRA,SETOR CRIMEIA OESTE,          0,S Crim?®ia Oeste,684867.0,8158169.0
CMEI IRMA LIDIA,   329585,RUA 3,SETOR SAO JOSE,        225,Vl S?úo Paulo,681550.0,8157780.0
CMEI VILA SÃO JOSÉ,   357626,RUA NOSSA SENHORA CONCEICAO,SETOR SAO JOSE,          0,S S?úo Jos?®,681419.0,8157495.0
EM PADRE PELUGIO,   329541,RUA 611,SETOR SAO JOSE,        425,S S?úo Jos?®,681402.0,8157460.0
EM GERALDA DE AQUINO,   329580,RUA ANTONIO LISITA,BAIRRO CIDADE JARDIM,         20,Bro Cidade Jardim,680171.0,8155617.0
CMEI PARQUE ELDORADO DOESTE,   359381,RUA ELO3,PARQUE ELDORADO OESTE,          0,Prq Eldorado Oeste,669799.0,8154442.0
EM PARQUE ELDORADO OESTE,   329926,RUA ELO26,PARQUE ELDORADO OESTE,          0,Prq Eldorado Oeste,669626.0,8153625.0
EM PROFESSORA CLEONICE MONTEIRO WOLNEY,   329211,RUA D.CARLOTA JOAQUINA,SITIO DE R M DO CAMPUS,          0,Sir Mans?Áes do Campus,682152.0,8166996.0
EM DONA ROSA MARTINS PERIM,   358639,AVE PERIM,SETOR PERIM,        380,S Perim,681512.0,8158759.0
CMEI RESIDENCIAL ITAMARACA,   358650,RUA RIT3,RESIDENCIAL ITAMARACA,          0,Res Itamaraca,681284.0,8158363.0
CMEI SETOR PROGRESSO,   358644,RUA DOS CHAVANTES,VILA CLEMENTE,          1,Vl Clemente,682297.0,8158229.0
EM BALNEARIO MEIA PONTE,   321079,AVE CIRCULAR,JARDIM BALNEARIO MEIA PONTE,        450,Jd Balne?írio Meia Ponte,681753.0,8162368.0
CMEI JARDIM BALNEARIO MEIA PONTE,   353623,RUA MILAO,JARDIM BALNEARIO MEIA PONTE,          0,Jd Balne?írio Meia Ponte,681421.0,8162429.0
EM REGINA HELOU,   358638,RUA 21 DE ABRIL,VILA MARIA DILCE,        250,Vl Maria Dilce,681871.0,8159171.0
EM AMANCIO SEIXO DE BRITO,   321072,RUA MILAO,JARDIM BALNEARIO MEIA PONTE,         91,Jd Balne?írio Meia Ponte,681362.0,8162412.0
EDUCANDARIO AFRÂNIO DE AZEVEDO,   321036,AVE MARECHAL RONDON,RESIDENCIAL MORUMBI,          0,Res Morumbi,683506.0,8158810.0
CEI - ESCOLA CRECHE SÃO DOMINGOS SIVIO,32550045,RUA S7,SETOR BELA VISTA,277,,685604.0,8150993.0
CENTRO DE ASSIST E ED. INF.  ANTÔNIO R. DO AMARAL,   357616,RUA DOS FERROVIARIOS,ESPLANADA DO ANICUNS,        556,Esp do Anicuns,0.0,0.0
CRECHE ESPIRITA MARIA DOLORES,   329561,RUA DOS FERROVIARIOS,ESPLANADA DO ANICUNS,        165,Esp do Anicuns,679730.0,8156489.0
CENTRO DE EDUC. INFANTIL NOSSA SENHORA DE NAZARE,   328559,PCA C2,BAIRRO JARDIM AMERICA,        542,Bro Jardim Am?®rica,682481.0,8153792.0
EM RENASCER,   321811,RUA RC-07,RESIDENCIAL REAL CONQUISTA,          0,Res Real Conquista,671749.0,8144031.0
CMEI MARCIA LORENA MENDES (ANTIGO VILA MUTIRAO II),   358156,RUA VMU,VILA MUTIRAO II,          0,Vl Mutir?úo I,675602.0,8161863.0
CMEI BRINCANDO E APRENDENDO,   320727,RUA UBERABA,JARDIM GUANABARA,          0,Jd Guanabara,689719.0,8160964.0
CENTRO DE EDUCACAO INFANTIL SONHO MEU,   325928,AVE T14,BAIRRO DA SERRINHA,       2071,Prq Amaz??nia,684509.0,8150465.0
EM IZABEL ESPIRIDIÃO JORGE,   328145,RUA SAO LUIZ,BAIRRO ALTO DA GLORIA,        499,Bro Alto da Gl??ria,687699.0,8151096.0
EM PROF. SALMOM GOMES FIGUEIREDO,   329711,RUA SAO DOMINGOS,BAIRRO IPIRANGA,        100,Bro Ipiranga,677813.0,8157092.0
EM RECANTO DO BOSQUE,   329277,RUA RB4,RESIDENCIAL RECANTO DO BOSQUE,          0,Res Recanto do Bosque,680619.0,8162970.0
EM PATRICIA RODRIGUES DE PAIVA,   320734,RUA MARIA ABADIA VIEIRA,RESIDENCIAL VALE DOS SONHOS,          0,Res Vale dos Sonhos,691032.0,8164029.0
EM ALONSO DIAS PINHEIRO,   358636,RUA TAMOIOS,VILA CLEMENTE,        100,Vl Clemente,682259.0,8158250.0
ESCOLA APEGO,   357923,RUA CASIMIRO DE ABREU,PARQUE ANHANGUERA,        660,Bro Anhang??era,681153.0,8150438.0
CMEI DR  ELIZABETH PINTO RIBEIRO,   328031,RUA ANHANGA,PARQUE AMAZONIA,          0,Prq Amaz??nia,683853.0,8149397.0
EM DR. NICANOR DE ASSIS ALBERNAZ,   329683,RUA ALPHA14,LOTEAMENTO ALPHAVILLE RESIDENCIAL,        333,Lot Alphaville Residencial,673213.0,8149922.0
CEI ASSOC PROJETO CRIANÇA JESUS DE NAZARÉ,   321032,VIA DE ACESSO 6,GRANJA CRUZEIRO DO SUL,         74,Grj Cruzeiro do Sul,683252.0,8159644.0
EM MARECHAL CASTELO BRANCO,   320784,RUA GB48,JARDIM GUANABARA III,          0,Vl Militar,689475.0,8162137.0
EM PAULO TEIXEIRA DE MENDONCA,   356513,RUA TRES MARIAS,SETOR NEGRAO DE LIMA,          0,S Negr?úo de Lima,687648.0,8157684.0
CMEI JARDIM NOVA ESPERAÇA,   329382,AVE COMERCIAL,JARDIM NOVA ESPERANCA,          0,Jd Nova Esperan?ºa,678530.0,8158948.0
EM MÔNICA DE CASTRO CARNEIRO,   320638,AVE CRISTOVAO COLOMBO,JARDIM NOVO MUNDO,        539,Jd Novo Mundo,690229.0,8155989.0
EM JOÃO CLARIMUNDO DE OLIVEIRA,   328425,RUA 3,BAIRRO AGUA BRANCA,        111,Bro ?ügua Branca,689535.0,8153258.0
EM BENEDITA LUIZA DA SILVA DE MIRANDA,   328173,RUA 1058,SETOR PEDRO LUDOVICO,        171,S Pedro Ludovico,686788.0,8151044.0
EM ITAMAR MARTINS FERREIRA,   325525,RUA T65,SETOR BELA VISTA,         45,S Bela Vista,685618.0,8150899.0
EM FREI DEMETRIO ZANQUETA,   327564,- -,SETOR PEDRO LUDOVICO,        241,S Pedro Ludovico,685953.0,8150599.0
EM JESUINA DE ABREU,   328031,RUA IGARITE,PARQUE AMAZONIA,         50,Prq Amaz??nia,683895.0,8149074.0
EM ANTÔNIO FIDELIS,   328033,AVE JOSE RODRIGUES DE MORAIS NETO,PARQUE AMAZONIA,        499,Prq Amaz??nia,683665.0,8149553.0
EM CEL. SALOMÃO CLEMENTINO DE FARIA,   329586,RUA 12,SETOR SAO JOSE,        914,S S?úo Jos?®,680985.0,8157320.0
EM SANTA TEREZINHA,   356551,ROD GO80,CHACARA BOM RETIRO,          0,Ch Bom Retiro,687755.0,8168492.0
EM PROFESSOR NADAL SFREDO,   329819,RUA VMS,JARDIM LIBERDADE,          2,Jd Liberdade,676149.0,8162027.0
EM MANOEL JOSÉ DE OLIVEIRA,   325567,AVE T14,SETOR BUENO,        560,Bro da Serrinha,685102.0,8150557.0
EM VITOR HUGO LUDWIG,   357616,RUA FORMOSA,BAIRRO CIDADE JARDIM,        450,Bro Cidade Jardim,679584.0,8155613.0
EM PROFESSOR TRAJANO DE SA GUIMARÃES,   325920,AVE T15,PARQUE AMAZONIA,       2155,Prq Amaz??nia,684514.0,8150380.0
EM GEORGETA RIVALINO DUARTE,   328776,RUA GENERAL CUNHA MATTOS,VILA MAUA,        455,Vl Mau?í,679525.0,8152904.0
CMEI DRA. MARIZETE FERNANDES DE CASTRO CARVALHO,35243448,AVE COMERCIAL,BAIRRO DA VITORIA,0,,676193.0,8163985.0
CMEI JARDIM GOIÁS,   328173,RUA 5,JARDIM GOIAS,          0,Jd Goi?ís,687435.0,8153375.0
CENTRO DE EDUCACAO INFANTIL EFRATA,   324187,RUA 1107,SETOR PEDRO LUDOVICO,          0,S Pedro Ludovico,0.0,0.0
CMEI ALTO DA GLÓRIA,   327813,RUA SAO LUIZ,BAIRRO ALTO DA GLORIA,          0,Bro Alto da Gl??ria,687721.0,8151084.0
CMEI PARQUE AMAZÔNIA,   354825,PCA CORONEL INACIO ELIAS BUFAICAL,PARQUE AMAZONIA,          0,Prq Amaz??nia,683327.0,8148564.0
CMEI VILA REDENCAO,   328241,AVE JARDIM BOTANICO,VILA REDENCAO,          0,Vl Reden?º?úo,687228.0,8150110.0
CMEI VILA AREIAO,   324227,RUA PL6,LOTEAMENTO AREIAO I,          0,Lot Arei?úo I,686969.0,8152900.0
CEI - LAR ESPIRITA CANUTO DE OLIVEIRA,   323360,VLA RIO GRANDE DO SUL,SETOR CAMPINAS,        273,S Campinas,682431.0,8156378.0
CENTRO DE EDUCAÇÃO INFANTIL AUTA DE SOUZA,   329384,RUA DOMINGOS VIGIANO,BAIRRO CIDADE JARDIM,        252,Bro Cidade Jardim,680056.0,8155765.0
CENTRO DE EDUCACAO INFANTIL SOU FELIZ,   328902,RUA CD9,CONJUNTO CACHOEIRA DOURADA,          0,Cjr Cachoeira Dourada,678781.0,8150344.0
CRECHE LUIGINA,   320534,AVE SAO JORGE,VILA JARDIM SAO JUDAS TADEU,       1033,Vl Jardim S?úo Judas Tadeu,687103.0,8162073.0
CMEI VILA MONTECELLI,   320340,RUA SENADOR ANTONIO MARTINS BORGES,SETOR CRIMEIA LESTE,          0,Vl Monticelli,686705.0,8158244.0
EM ORLANDO DE MORAIS,32070302,RUA OM21,RESIDENCIAL ORLANDO MORAIS,0,,684740.0,8169565.0
CMEI ÁGUA BRANCA,   328430,AVE B,BAIRRO AGUA BRANCA,          0,Bro ?ügua Branca,689566.0,8153280.0
CMEI ORLANDO ALVES CARNEIRO,   329211,AVE MATO GROSSO,SETOR CAMPINAS,       1623,S Centro Oeste,682943.0,8156061.0
CMEI VILA MAUA,   328770,RUA GENERAL CUNHA MATTOS,VILA MAUA,          0,Vl Mau?í,679522.0,8152849.0
CMEI PROFESSORA IACY ALBA ROCHA FERREIRA LIMA,   329558,RUA 15,BAIRRO DOS AEROVIARIOS,          0,Bro dos Aerovi?írios,680966.0,8156567.0
CMEI VILA SANTANA,   329109,AVE SERGIPE,SETOR CAMPINAS,          0,S Campinas,682301.0,8157027.0
EM JOSÉ CARLOS PIMENTA,   321460,GO 80,DISTRITO DA VILA RICA,          0,Dis Vila Rica,691601.0,8179156.0
CENTRO DE OR. REAB. E ASS. AO ENCEFALOPATA CORAE,   325103,VLA T3,SETOR BUENO,        114,S Bueno,682690.0,8153785.0
CMEI CONSUELO NASSER,   357825,RUA AC5,RESIDENCIAL ANA CLARA,          0,Res Ana Clara,674068.0,8143981.0
CMEI PADRE VITALIS,   320335,RUA 231,VILA MONTICELLI,          0,Lot Manso Pereira,686445.0,8157834.0
CMEI PROFESSORA ALZIRA DE OLIVEIRA ALVES,   329679,RUA NAVARRA,JARDIM EUROPA,          0,Jd Europa,680293.0,8149515.0
CENTRO DE EDUC. INFANTIL ESPIRITA VOVÓ ISLENA,   351723,RUA 18 DE OUTUBRO,SETOR ESTRELA DALVA,          0,S Estrela Dalva,0.0,0.0
CMEI RESIDENCIAL ORLANDO DE MORAES,35894718,RUA OM24,RESIDENCIAL ORLANDO MORAIS,0,,684754.0,8169631.0
CMEI NOSSA SENHORA APARECIDA,   359313,RUA BS10,BAIRRO SAO DOMINGOS,          0,,677522.0,8166867.0
CENTRO DE EDUCAÇO INFANTIL EVANGELICA EL-SHADD,   328873,AVE DIAMANTE NEGRO,CONDOMINIO DAS ESMERALDAS,        320,S das Esmeraldas,675259.0,8143836.0
EM PROFESSORA MARIA NOSIDIA PALMEIRAS DAS NEVES,   329227,RUA CELESTE BAIOCCHI,RESIDENCIAL BARRAVENTO,          0,Res Barravento,680823.0,8161460.0
EM JOÃO ALVES DE QUEIROZ,   357555,RUA EF9,RESIDENCIAL ELI FORTE,          0,Res Eli Forte,675560.0,8149016.0
EM SETOR GRAJAU,   358861,RUA G1,SETOR GRAJAU,          0,S Graja??,674561.0,8146319.0
EM GRANDE RETIRO,   320841,RUA GR20,LOTEAMENTO GRANDE RETIRO,          0,Lot Grande Retiro,693969.0,8156072.0
CEI - LAR DE MATILDE,   320430,RUA UBURANA,BAIRRO SANTA GENOVEVA,         44,Bro Santa Genoveva,687436.0,8159377.0
EM JARDIM NOVO MUNDO,   320647,RUA MISSISSIPE,JARDIM NOVO MUNDO,          0,Jd Novo Mundo,689854.0,8155328.0
CMEI PRESIDENTE COSTA E SILVA,   328145,RUA R10,VILA REDENCAO,        131,Vl Reden?º?úo,687392.0,8151042.0
CMEI VIVER A INFÂNCIA (ANTIGO IEG),   320223,AVE QUINTA AVENIDA,SETOR LESTE VILA NOVA,        279,S Leste Vila Nova,687252.0,8156342.0
CMEI RECANTO DO SABER,   327383,RUA ADEMAR DE BARROS,VILA MARIA LUIZA,          0,Vl Maria Luiza,689831.0,8154408.0
EM JARDIM AMÉRICA,,RUA C160,BAIRRO JARDIM AMERICA,       1310,Bro Jardim Am?®rica,682285.0,8150413.0
CEI WEMERSON RODRIGUES BERNARDES,   321460,GO 80,DISTRITO DA VILA RICA,          0,Dis Vila Rica,691566.0,8179167.0
CRECHE ESPIRITA RAIO DE LUZ,    29730,RUA SAO TIAGO,JARDIM PETROPOLIS,        470,Jd Petr??polis,677678.0,8157155.0
EM RESIDENCIAL BUENA VISTA,   357754,RUA POUSO ALEGRE,RESIDENCIAL BUENA VISTA IV,          0,Res Buena Vista IV,670922.0,8150888.0
CMEI RESIDENCIAL BUENA VISTA,   329679,RUA JOAO AMORELLI,RESIDENCIAL BUENA VISTA I,          0,Res Buena Vista I,669766.0,8150065.0
EM HEBERT JOSE DE SOUZA,   321072,AVE GENESIO DE LIMA BRITO,JARDIM BALNEARIO MEIA PONTE,       7407,Jd Balne?írio Meia Ponte,682662.0,8161267.0
CENTRO DE EDUCACAO INFANTIL MARIA GENOVEVA,   326417,AVE BRASIL,BAIRRO SANTA GENOVEVA,        856,Bro Santa Genoveva,688313.0,8160268.0
CRECHE SANTA RITA DE CASSIA,   322347,RUA 17A,SETOR AEROPORTO,        111,S Aeroporto,684472.0,8156606.0
CMEI CIRANDA,   358622,RUA 11 DE JUNHO,VILA MARIA DILCE,          0,Vl Maria Dilce,681837.0,8159401.0
ASSOCIAÇAO AGAPE-CRECHE FILANTROPICA,   309522,RUA 70,SETOR CENTRAL,        222,S Central,685674.0,8156301.0
CMEI JARDIM COLORADO,   320784,RUA SC17,JARDIM COLORADO,          0,Jd Colorado,677816.0,8160405.0
CEI SERAFIM RODRIGUES  DE MORAES FILHO,   357803,RUA JOAQUIM ALVES RIBEIRO,LOTEAMENTO SOLANGE PARQUE I,        196,Lot Solange Parque I,675036.0,8152836.0
CMEI DEPUTADO SOLON BATISTA AMARAL,   328221,RUA DO COMERCIO,VILA JARDIM VITORIA,        199,Vl Jardim Vit??ria,689377.0,8150387.0
CMAI MARIA THOME NETO,   352456,RUA C165,BAIRRO NOVA SUICA,          0,Bro Nova Sui?ºa,683890.0,8151127.0
CMEI JARDINS DO CERRADO I,   329413,RUA AMOR-PERFEITO,RESIDENCIAL JARDINS DO CERRADO 1,          0,Res Jardins do Cerrado 1,668813.0,8156726.0
EM JARDINS DO CERRADO I,35777225,RUA DA LIBERDADE,RESIDENCIAL JARDINS DO CERRADO 1,0,,668950.0,8156635.0
CMEI PEDRO LUDOVICO,0,RUA SANTA CRUZ,SETOR PEDRO LUDOVICO,0,,686028.0,8150617.0
CMEI PARQUE TREMENDAO,0,RUA ANTONIO ELIAS DE SOUZA,SETOR PARQUE TREMENDAO,0,,678451.0,8162379.0
CMEI ORIENTE VILLE,0,RUA JOAQUIM CANDIDO DA SILVA,SETOR ORIENTVILLE,0,,675307.0,8147277.0
CMEI SOLANGE PARK II,35582382,RUA DONA CHIQUITA,LOTEAMENTO SOLANGE PARQUE II,0,,675466.0,8152477.0
CMEI VILLAGE ATALAIA,0,RUA VA6,VILLAGE ATALAIA,1,,685904.0,8164819.0
CMEI VALE DOS SONHOS,32648133,RUA VS08,RESIDENCIAL VALE DOS SONHOS II,0,,690295.0,8163425.0
CMEI RESIDENCIAL REAL CONQUISTA,35244619,RUA RC-52,RESIDENCIAL REAL CONQUISTA,0,,671805.0,8144370.0
CMEI HUGO DE MORAIS,35866449,RUA HM10,RESIDENCIAL HUGO DE MORAES,0,,682227.0,8160234.0
CMEI JARDIM CONQUISTA,0,RUA GOIAS,JARDIM CONQUISTA,0,,692763.0,8156234.0
EM TROPICAL VILLE,0,RUA JR7,LOTEAMENTO TROPICAL VILLE,0,,672619.0,8158139.0
EM SOLAR VILLE,0,RUA AGRONOMO JOAQUIM BATISTA,RESIDENCIAL SOLAR VILLE,0,,674882.0,8160735.0
